transaction_id,customer_id,account_type,country,amount,currency,category,channel,timestamp,status,merchant_id,card_last4
1525,295,Corriente,UK,81.71,GBP,Gasolinera,Movil,2025-10-01 07:57:09,DECLINED,M68918,4975
1578,397,Ahorro,DE,381.55,EUR,Transferencia,Online,2025-10-01 08:18:11,APPROVED,M42239,3925
1736,482,Premium,ES,1106.37,EUR,Hotel,Online,2025-10-01 08:20:55,DECLINED,M35055,7043
2654,434,Empresarial,DE,283.95,EUR,Supermercado,Online,2025-10-01 08:24:04,APPROVED,M82813,8346
2955,271,Corriente,ES,98.97,EUR,E-commerce,Presencial,2025-10-01 08:38:16,APPROVED,M31821,4701
2043,161,Empresarial,ES,1946.7,EUR,Transferencia,Presencial,2025-10-01 08:46:59,APPROVED,M39454,3086
2948,521,Ahorro,ES,119.95,EUR,Supermercado,Presencial,2025-10-01 09:01:54,APPROVED,M50326,6925
2253,482,Ahorro,ES,50.56,EUR,Gasolinera,Online,2025-10-01 09:02:26,APPROVED,M34761,7230
2603,341,Corriente,UK,148.16,GBP,Cajero,Online,2025-10-01 09:15:28,APPROVED,M61951,8914
1889,294,Empresarial,MX,208.29,MXN,Gasolinera,Movil,2025-10-01 09:15:37,APPROVED,M16695,6224
1329,675,Empresarial,ES,425.52,EUR,Restaurante,Movil,2025-10-01 09:16:30,APPROVED,M57226,5222
2454,108,Corriente,ES,272.21,EUR,E-commerce,Online,2025-10-01 09:19:30,APPROVED,M58806,4650
1460,507,Corriente,US,1956.17,USD,Transferencia,Online,2025-10-01 09:22:19,APPROVED,M68224,7809
1608,491,Ahorro,UK,108.85,GBP,Entretenimiento,Movil,2025-10-01 09:39:48,APPROVED,M91233,2300
1365,482,Corriente,UK,42.32,GBP,Restaurante,Online,2025-10-01 09:39:59,APPROVED,M24585,5999
2334,493,Corriente,ES,97.04,EUR,Gasolinera,Movil,2025-10-01 09:43:21,APPROVED,M83737,9897
1392,157,Empresarial,ES,4022.73,EUR,Transferencia,Movil,2025-10-01 09:43:21,DECLINED,M29569,5595
1535,241,Corriente,ES,183.83,EUR,Cajero,Presencial,2025-10-01 09:51:30,APPROVED,M64396,6908
1424,175,Corriente,ES,105.41,EUR,Cajero,Online,2025-10-01 09:52:16,APPROVED,M61463,3923
2772,499,Ahorro,UK,783.2,GBP,Transferencia,Online,2025-10-01 09:55:00,DECLINED,M95709,5496
1012,667,Corriente,ES,174.03,EUR,Restaurante,Movil,2025-10-01 09:57:02,APPROVED,M38080,9834
1161,420,Ahorro,DE,258.59,EUR,Hotel,Movil,2025-10-01 09:59:37,APPROVED,M59786,5026
1998,543,Ahorro,US,76.61,USD,Farmacia,ATM,2025-10-01 10:06:04,APPROVED,M77995,9097
1554,273,Corriente,MX,39.97,MXN,Gasolinera,Online,2025-10-01 10:06:20,APPROVED,M25855,1849
2432,657,Corriente,US,44.2,USD,Supermercado,Online,2025-10-01 10:11:17,APPROVED,M56567,3651
2016,335,Ahorro,US,56.53,USD,E-commerce,Online,2025-10-01 10:13:53,APPROVED,M52907,8501
2036,593,Ahorro,ES,72.47,EUR,Gasolinera,Presencial,2025-10-01 10:14:21,APPROVED,M25216,2663
1859,493,Ahorro,ES,259.5,EUR,Cajero,Online,2025-10-01 10:16:47,APPROVED,M58866,8758
1784,639,Empresarial,FR,358.32,EUR,Entretenimiento,Movil,2025-10-01 10:26:45,APPROVED,M78287,4777
1142,506,Empresarial,ES,699.92,EUR,E-commerce,Presencial,2025-10-01 10:38:06,APPROVED,M78723,9092
2633,404,Corriente,UK,40.59,GBP,Gasolinera,Online,2025-10-01 10:45:41,APPROVED,M14060,8937
2636,591,Corriente,UK,157.41,GBP,E-commerce,Presencial,2025-10-01 10:50:19,APPROVED,M19508,4181
2403,598,Ahorro,ES,12.21,EUR,Farmacia,Online,2025-10-01 10:53:20,APPROVED,M16151,3676
1279,392,Empresarial,FR,44.81,EUR,Supermercado,Movil,2025-10-01 11:03:42,APPROVED,M99573,5105
1604,325,Premium,ES,158.7,EUR,Gasolinera,Movil,2025-10-01 11:06:52,APPROVED,M81002,7472
2560,395,Corriente,DE,45.36,EUR,Transporte,Movil,2025-10-01 11:06:53,APPROVED,M33484,4066
2379,474,Corriente,FR,40.36,EUR,E-commerce,Presencial,2025-10-01 11:16:36,DECLINED,M21334,8014
1605,538,Corriente,ES,808.91,EUR,Transferencia,Online,2025-10-01 11:20:00,DECLINED,M46497,7045
2614,577,Empresarial,ES,85.99,EUR,Farmacia,Movil,2025-10-01 11:24:41,APPROVED,M79167,1848
1780,300,Ahorro,US,22.03,USD,Supermercado,Movil,2025-10-01 11:24:44,DECLINED,M25465,7024
2045,675,Corriente,US,62.52,USD,Gasolinera,Presencial,2025-10-01 11:25:17,APPROVED,M80161,6359
1963,309,Premium,UK,293.59,GBP,E-commerce,Online,2025-10-01 11:26:24,APPROVED,M88660,1170
1840,602,Corriente,UK,111.3,GBP,Entretenimiento,Presencial,2025-10-01 11:39:57,APPROVED,M20855,7874
1427,546,Ahorro,UK,127.41,GBP,Restaurante,Movil,2025-10-01 11:44:52,APPROVED,M53704,5961
2420,426,Empresarial,ES,1827.79,EUR,Transferencia,Movil,2025-10-01 11:56:25,APPROVED,M27540,1455
2083,604,Empresarial,MX,126.0,MXN,Gasolinera,ATM,2025-10-01 12:02:08,APPROVED,M56825,2433
1439,206,Empresarial,MX,231.64,MXN,Gasolinera,Online,2025-10-01 12:07:04,APPROVED,M36050,6336
2836,170,Corriente,US,54.41,USD,Gasolinera,Online,2025-10-01 12:08:25,APPROVED,M71436,6509
1997,197,Corriente,FR,252.34,EUR,E-commerce,Online,2025-10-01 12:10:19,APPROVED,M89537,9177
2536,548,Corriente,FR,66.99,EUR,Gasolinera,Movil,2025-10-01 12:10:35,APPROVED,M71823,3254
2078,385,Empresarial,UK,1186.94,GBP,Hotel,Online,2025-10-01 12:17:21,APPROVED,M63046,1840
2908,270,Ahorro,ES,180.95,EUR,Hotel,Movil,2025-10-01 12:27:31,DECLINED,M39072,4186
2637,593,Ahorro,FR,262.67,EUR,Cajero,Online,2025-10-01 12:31:12,APPROVED,M39590,7865
1165,112,Corriente,UK,73.13,GBP,Entretenimiento,ATM,2025-10-01 12:44:43,APPROVED,M78732,3439
2040,337,Corriente,FR,271.79,EUR,Cajero,Online,2025-10-01 13:00:07,APPROVED,M27964,6235
2687,257,Corriente,US,21.71,USD,Supermercado,Presencial,2025-10-01 13:09:26,PENDING,M64879,6286
2057,553,Corriente,US,88.77,USD,Transporte,Presencial,2025-10-01 13:17:13,APPROVED,M52215,1339
1787,488,Corriente,FR,13.64,EUR,Supermercado,Movil,2025-10-01 13:22:59,APPROVED,M44410,4547
1726,262,Ahorro,ES,124.62,EUR,Restaurante,Online,2025-10-01 13:33:32,APPROVED,M13866,6366
1513,379,Ahorro,UK,203.92,GBP,Hotel,Movil,2025-10-01 13:36:11,APPROVED,M53077,1425
2133,630,Corriente,US,91.91,USD,Gasolinera,Online,2025-10-01 13:38:34,APPROVED,M80459,2532
2915,693,Ahorro,ES,151.6,EUR,E-commerce,Presencial,2025-10-01 13:47:39,APPROVED,M34665,6384
1970,479,Corriente,MX,402.85,MXN,Hotel,Online,2025-10-01 13:52:24,APPROVED,M83877,9938
1678,110,Empresarial,ES,707.31,EUR,E-commerce,Online,2025-10-01 13:55:49,APPROVED,M60067,5216
1808,244,Corriente,DE,87.88,EUR,Entretenimiento,Presencial,2025-10-01 14:02:57,PENDING,M13378,7054
1771,278,Empresarial,FR,1066.16,EUR,Cajero,Presencial,2025-10-01 14:07:02,APPROVED,M13861,3851
1109,116,Ahorro,DE,47.33,EUR,Gasolinera,Online,2025-10-01 14:15:36,APPROVED,M18870,9618
1775,230,Empresarial,ES,141.11,EUR,Restaurante,Movil,2025-10-01 14:21:01,APPROVED,M56911,2113
1623,181,Corriente,FR,208.39,EUR,E-commerce,Online,2025-10-01 14:30:31,APPROVED,M10947,1685
1164,169,Empresarial,ES,245.58,EUR,Entretenimiento,Movil,2025-10-01 14:42:59,DECLINED,M82305,7739
2395,355,Corriente,MX,50.48,MXN,Transporte,Online,2025-10-01 15:07:55,APPROVED,M77970,6697
2167,258,Corriente,ES,123.64,EUR,Cajero,ATM,2025-10-01 15:11:47,APPROVED,M89525,4610
1347,671,Empresarial,UK,55.31,GBP,Farmacia,Movil,2025-10-01 15:22:46,APPROVED,M48628,9892
1878,263,Corriente,UK,111.16,GBP,Restaurante,Online,2025-10-01 15:26:55,APPROVED,M44082,9803
1984,632,Premium,ES,1689.21,EUR,Transferencia,Presencial,2025-10-01 15:44:19,DECLINED,M45761,8505
2934,435,Corriente,MX,134.39,MXN,E-commerce,Online,2025-10-01 15:50:26,APPROVED,M54978,6093
2739,443,Premium,UK,957.92,GBP,Transferencia,Presencial,2025-10-01 15:58:53,DECLINED,M47915,3513
1167,195,Ahorro,FR,68.86,EUR,Farmacia,Online,2025-10-01 16:05:31,APPROVED,M22499,9653
1524,409,Corriente,ES,91.26,EUR,Hotel,Online,2025-10-01 16:12:54,APPROVED,M92058,9824
1596,436,Premium,US,267.87,USD,Farmacia,Movil,2025-10-01 16:18:41,APPROVED,M48987,7407
1118,475,Corriente,DE,242.53,EUR,Hotel,ATM,2025-10-01 16:31:33,APPROVED,M68493,4515
1414,687,Empresarial,FR,262.85,EUR,E-commerce,Online,2025-10-01 16:38:47,APPROVED,M85778,3770
2478,510,Ahorro,ES,246.97,EUR,Hotel,Presencial,2025-10-01 16:40:21,APPROVED,M66387,2480
1547,220,Corriente,MX,185.09,MXN,E-commerce,Online,2025-10-01 17:09:50,APPROVED,M38256,3999
2799,159,Corriente,UK,61.54,GBP,Cajero,Online,2025-10-01 17:10:35,APPROVED,M63317,2215
1078,193,Ahorro,DE,63.81,EUR,Transporte,ATM,2025-10-01 17:15:08,APPROVED,M86858,4538
1697,345,Corriente,DE,117.06,EUR,Restaurante,Online,2025-10-01 17:19:12,APPROVED,M84727,1735
2602,563,Ahorro,UK,7.12,GBP,Transporte,Presencial,2025-10-01 17:19:21,APPROVED,M12678,5752
2778,268,Empresarial,DE,95.59,EUR,Gasolinera,Presencial,2025-10-01 17:27:18,APPROVED,M82944,1670
2474,616,Ahorro,ES,22.05,EUR,Farmacia,ATM,2025-10-01 17:42:20,PENDING,M25930,2996
2441,451,Corriente,DE,445.57,EUR,Cajero,Movil,2025-10-01 17:47:19,APPROVED,M92234,8785
1202,310,Ahorro,DE,206.04,EUR,Cajero,Online,2025-10-01 17:50:15,APPROVED,M79243,1197
2648,579,Corriente,US,80.8,USD,Entretenimiento,Presencial,2025-10-01 17:53:27,APPROVED,M15578,3755
2381,660,Ahorro,US,26.9,USD,Supermercado,Movil,2025-10-01 18:01:16,DECLINED,M95462,9128
1802,667,Empresarial,FR,114.71,EUR,Restaurante,Online,2025-10-01 18:01:44,APPROVED,M60870,7919
2496,349,Corriente,MX,48.84,MXN,Transporte,ATM,2025-10-01 18:13:39,APPROVED,M32500,3625
1218,196,Ahorro,US,35.1,USD,Gasolinera,Online,2025-10-01 18:14:08,APPROVED,M21015,5240
1471,119,Empresarial,UK,45.74,GBP,Supermercado,Online,2025-10-01 18:32:37,DECLINED,M97501,1168
1298,651,Corriente,UK,165.34,GBP,Restaurante,Movil,2025-10-01 18:40:01,APPROVED,M14804,5269
1638,199,Corriente,UK,48.47,GBP,Transporte,Presencial,2025-10-01 18:45:19,APPROVED,M48152,3372
1806,536,Corriente,FR,99.24,EUR,Gasolinera,ATM,2025-10-01 18:47:56,APPROVED,M90671,6150
2805,636,Corriente,ES,65.83,EUR,E-commerce,Movil,2025-10-01 18:51:22,APPROVED,M38878,7042
2414,565,Empresarial,US,159.61,USD,Farmacia,Online,2025-10-01 18:59:14,APPROVED,M43006,6815
2212,107,Ahorro,DE,54.52,EUR,Supermercado,Online,2025-10-01 19:33:15,APPROVED,M55220,1396
1309,220,Corriente,UK,66.68,GBP,Transporte,Movil,2025-10-01 19:49:43,DECLINED,M79444,8028
1281,343,Ahorro,UK,230.3,GBP,E-commerce,Movil,2025-10-01 20:24:26,APPROVED,M11699,5117
1168,143,Corriente,MX,31.64,MXN,Transporte,Movil,2025-10-01 20:43:59,APPROVED,M51220,1256
2013,621,Empresarial,ES,495.49,EUR,Hotel,Online,2025-10-01 20:47:39,APPROVED,M36422,5198
1636,315,Empresarial,MX,1099.62,MXN,Hotel,Movil,2025-10-01 20:49:11,DECLINED,M96409,3608
2587,237,Ahorro,ES,342.96,EUR,Transferencia,Presencial,2025-10-01 21:23:27,APPROVED,M12459,4794
1551,672,Corriente,MX,116.33,MXN,Entretenimiento,Movil,2025-10-01 21:33:12,PENDING,M96278,9713
1049,332,Corriente,FR,109.15,EUR,Entretenimiento,Online,2025-10-01 22:35:18,APPROVED,M11607,5658
1708,259,Premium,ES,318.62,EUR,Hotel,Online,2025-10-01 22:49:24,APPROVED,M37973,1886
1616,493,Ahorro,DE,74.84,EUR,Transporte,Online,2025-10-01 23:07:24,APPROVED,M55688,9349
2741,631,Corriente,ES,98.41,EUR,Gasolinera,Online,2025-10-01 23:14:55,DECLINED,M59516,3291
1040,531,Corriente,ES,101.02,EUR,Supermercado,Movil,2025-10-01 23:22:14,APPROVED,M42411,4266
2594,584,Corriente,FR,81.75,EUR,Entretenimiento,Movil,2025-10-01 23:53:54,APPROVED,M33953,1674
2235,327,Empresarial,US,341.78,USD,Supermercado,Online,2025-10-02 01:23:58,APPROVED,M69175,7038
1916,147,Ahorro,UK,21.95,GBP,Entretenimiento,Online,2025-10-02 01:57:14,APPROVED,M64404,9793
2938,300,Corriente,FR,116.98,EUR,Supermercado,Movil,2025-10-02 02:05:54,APPROVED,M21017,4414
2779,575,Ahorro,ES,79.18,EUR,Entretenimiento,Online,2025-10-02 02:19:06,APPROVED,M49489,2264
1828,632,Empresarial,ES,63.41,EUR,Farmacia,Presencial,2025-10-02 04:27:31,APPROVED,M81707,7850
2570,297,Corriente,ES,93.41,EUR,Gasolinera,Online,2025-10-02 04:51:23,APPROVED,M24879,4706
1385,248,Empresarial,UK,50.82,GBP,Transporte,Online,2025-10-02 05:26:11,APPROVED,M85010,3906
2710,600,Corriente,FR,25.85,EUR,Transporte,Online,2025-10-02 05:37:08,APPROVED,M82519,4784
1054,217,Ahorro,DE,149.29,EUR,E-commerce,Presencial,2025-10-02 05:50:19,APPROVED,M71433,5982
1786,134,Corriente,DE,127.5,EUR,E-commerce,Presencial,2025-10-02 05:54:39,APPROVED,M39418,4370
2249,319,Ahorro,DE,29.1,EUR,Entretenimiento,Presencial,2025-10-02 06:03:53,APPROVED,M92283,5251
2173,156,Corriente,MX,313.71,MXN,Cajero,Movil,2025-10-02 06:12:52,DECLINED,M18679,7147
2038,528,Ahorro,ES,114.46,EUR,Entretenimiento,Movil,2025-10-02 06:16:56,APPROVED,M28025,2982
1821,510,Corriente,UK,233.47,GBP,E-commerce,Presencial,2025-10-02 06:46:45,PENDING,M81001,3487
2421,477,Ahorro,MX,77.48,MXN,Gasolinera,Movil,2025-10-02 06:59:55,APPROVED,M51647,6174
2760,605,Ahorro,ES,145.55,EUR,E-commerce,Presencial,2025-10-02 07:00:18,DECLINED,M13265,1779
1172,489,Empresarial,DE,481.9,EUR,Cajero,Online,2025-10-02 07:19:28,APPROVED,M68830,9395
2520,230,Ahorro,MX,117.56,MXN,Cajero,Online,2025-10-02 07:41:57,APPROVED,M66280,8130
2493,247,Corriente,ES,101.68,EUR,Hotel,Online,2025-10-02 07:53:39,APPROVED,M60001,4524
2276,499,Corriente,ES,160.94,EUR,E-commerce,Movil,2025-10-02 07:58:54,APPROVED,M60888,1982
2156,251,Corriente,FR,1406.06,EUR,Transferencia,Online,2025-10-02 07:59:02,DECLINED,M78115,9783
1175,352,Empresarial,FR,91.4,EUR,Transporte,Online,2025-10-02 08:00:25,APPROVED,M53874,8055
1075,164,Ahorro,FR,239.09,EUR,E-commerce,Movil,2025-10-02 08:02:19,APPROVED,M60940,8432
2803,678,Premium,ES,674.17,EUR,Hotel,Movil,2025-10-02 08:16:27,DECLINED,M59820,7225
2527,154,Corriente,FR,325.86,EUR,Cajero,Movil,2025-10-02 08:21:50,APPROVED,M31446,6847
1135,251,Empresarial,ES,111.96,EUR,Transporte,Presencial,2025-10-02 08:28:20,APPROVED,M90147,8726
2962,347,Premium,US,59.1,USD,Transporte,Movil,2025-10-02 08:32:20,APPROVED,M48760,7579
1905,562,Empresarial,MX,154.46,MXN,Gasolinera,Movil,2025-10-02 08:36:21,APPROVED,M12815,7577
1825,674,Corriente,US,52.62,USD,Farmacia,Movil,2025-10-02 08:39:53,APPROVED,M74673,5129
1674,294,Empresarial,FR,167.15,EUR,Entretenimiento,Presencial,2025-10-02 08:48:32,APPROVED,M34125,1058
1288,403,Empresarial,ES,217.46,EUR,Entretenimiento,Online,2025-10-02 08:49:34,APPROVED,M37941,7950
1853,100,Ahorro,ES,48.45,EUR,Gasolinera,Online,2025-10-02 08:54:13,APPROVED,M59054,1081
2690,158,Corriente,FR,1730.07,EUR,Transferencia,Online,2025-10-02 08:57:16,APPROVED,M87165,8738
1495,634,Ahorro,DE,99.12,EUR,Entretenimiento,Online,2025-10-02 09:07:49,APPROVED,M40924,7928
2226,217,Corriente,ES,78.08,EUR,Gasolinera,Movil,2025-10-02 09:07:55,APPROVED,M96531,3287
1223,583,Ahorro,UK,243.32,GBP,Hotel,ATM,2025-10-02 09:15:17,APPROVED,M38758,7363
1685,331,Premium,UK,87.34,GBP,Restaurante,Movil,2025-10-02 09:18:22,APPROVED,M21115,1710
2378,224,Ahorro,FR,52.94,EUR,Supermercado,Presencial,2025-10-02 09:24:11,APPROVED,M40046,8758
2509,103,Ahorro,DE,4.2,EUR,Transporte,ATM,2025-10-02 09:25:51,DECLINED,M84411,3494
1363,685,Corriente,DE,107.44,EUR,Entretenimiento,Online,2025-10-02 09:27:20,APPROVED,M57876,6706
2894,498,Empresarial,DE,178.98,EUR,Farmacia,Online,2025-10-02 09:28:46,APPROVED,M64430,3316
2429,391,Corriente,ES,465.16,EUR,Hotel,Presencial,2025-10-02 09:31:32,APPROVED,M21802,8717
1005,157,Corriente,ES,1449.93,EUR,Transferencia,Online,2025-10-02 09:36:56,APPROVED,M94259,8517
2119,248,Corriente,UK,122.93,GBP,Entretenimiento,Online,2025-10-02 09:42:33,APPROVED,M24040,4952
2229,633,Corriente,UK,211.25,GBP,E-commerce,Online,2025-10-02 09:50:35,APPROVED,M11145,6351
2759,593,Ahorro,ES,138.19,EUR,E-commerce,Movil,2025-10-02 09:52:36,DECLINED,M19326,8113
2904,423,Corriente,US,161.25,USD,Restaurante,Movil,2025-10-02 09:54:26,APPROVED,M82468,9757
2472,691,Corriente,MX,61.88,MXN,Farmacia,Presencial,2025-10-02 09:58:21,APPROVED,M96073,3734
2971,295,Ahorro,MX,64.16,MXN,Gasolinera,Movil,2025-10-02 10:11:57,APPROVED,M94216,1377
2367,125,Premium,FR,229.14,EUR,Gasolinera,Movil,2025-10-02 10:20:29,DECLINED,M49468,4714
1537,553,Corriente,ES,37.18,EUR,Entretenimiento,Presencial,2025-10-02 10:25:49,APPROVED,M94078,3473
1958,536,Ahorro,FR,35.99,EUR,Farmacia,Online,2025-10-02 10:30:39,APPROVED,M99660,1903
2697,376,Corriente,US,146.49,USD,Supermercado,Presencial,2025-10-02 10:33:38,APPROVED,M12301,8678
1291,699,Corriente,US,1232.8,USD,Transferencia,Presencial,2025-10-02 10:43:19,APPROVED,M96602,1504
1858,267,Corriente,DE,136.34,EUR,Restaurante,Movil,2025-10-02 10:46:06,APPROVED,M26874,9306
1803,462,Corriente,UK,221.39,GBP,Hotel,Movil,2025-10-02 10:52:57,APPROVED,M19666,6815
2832,537,Premium,UK,138.83,GBP,Transporte,Movil,2025-10-02 11:45:39,APPROVED,M48796,1666
2298,330,Premium,ES,277.4,EUR,Farmacia,Movil,2025-10-02 11:52:59,DECLINED,M90632,1246
1792,159,Ahorro,ES,63.79,EUR,Transporte,Movil,2025-10-02 12:16:49,APPROVED,M32871,3406
2722,598,Corriente,MX,95.09,MXN,Transporte,Online,2025-10-02 12:21:00,APPROVED,M63017,2176
2804,313,Corriente,FR,123.2,EUR,Entretenimiento,Movil,2025-10-02 12:35:12,DECLINED,M54672,4445
1542,365,Ahorro,FR,8.58,EUR,Supermercado,Presencial,2025-10-02 12:36:47,APPROVED,M86230,9737
1528,666,Corriente,US,235.2,USD,Cajero,Presencial,2025-10-02 12:41:22,APPROVED,M71504,6633
1252,619,Corriente,ES,112.9,EUR,Entretenimiento,Online,2025-10-02 12:47:16,APPROVED,M53992,2463
2252,508,Empresarial,FR,137.31,EUR,Gasolinera,Online,2025-10-02 12:56:56,APPROVED,M67718,9304
1210,329,Corriente,FR,1362.99,EUR,Transferencia,Online,2025-10-02 13:07:32,APPROVED,M16019,7568
1794,461,Ahorro,ES,90.02,EUR,Hotel,Online,2025-10-02 13:07:32,APPROVED,M99262,7815
1695,413,Empresarial,FR,112.08,EUR,Gasolinera,Online,2025-10-02 13:08:47,APPROVED,M83307,2264
2957,409,Corriente,ES,139.37,EUR,Hotel,Presencial,2025-10-02 13:12:00,APPROVED,M64841,6214
1890,174,Corriente,ES,105.14,EUR,Restaurante,Movil,2025-10-02 13:13:38,APPROVED,M24617,8252
2042,230,Empresarial,ES,385.95,EUR,Restaurante,Movil,2025-10-02 13:15:40,APPROVED,M44402,7658
1043,679,Empresarial,FR,1069.49,EUR,Cajero,Movil,2025-10-02 13:21:00,APPROVED,M93307,8532
2340,342,Ahorro,UK,75.64,GBP,Transporte,Presencial,2025-10-02 13:24:38,APPROVED,M76724,5523
1904,671,Empresarial,DE,256.93,EUR,Entretenimiento,Presencial,2025-10-02 13:29:39,APPROVED,M46289,8630
2849,206,Ahorro,FR,70.62,EUR,Farmacia,Movil,2025-10-02 13:30:25,APPROVED,M38409,7703
1261,632,Corriente,DE,49.79,EUR,Gasolinera,Online,2025-10-02 13:39:07,APPROVED,M44471,9571
1848,625,Empresarial,ES,131.92,EUR,Farmacia,Online,2025-10-02 13:40:11,APPROVED,M96285,1554
1421,420,Ahorro,UK,64.02,GBP,Restaurante,Online,2025-10-02 13:43:28,DECLINED,M91185,2506
2887,517,Ahorro,FR,414.55,EUR,Transferencia,Online,2025-10-02 13:46:09,DECLINED,M41927,3165
2649,142,Premium,UK,212.44,GBP,Transporte,Movil,2025-10-02 13:46:52,APPROVED,M22042,4271
1232,207,Corriente,ES,182.22,EUR,Cajero,Online,2025-10-02 13:57:05,APPROVED,M66534,3703
2110,183,Corriente,ES,25.75,EUR,Transporte,Movil,2025-10-02 14:01:30,APPROVED,M99449,9350
2575,679,Corriente,FR,47.4,EUR,Transporte,ATM,2025-10-02 14:11:25,APPROVED,M62531,3098
1781,460,Corriente,FR,114.65,EUR,Supermercado,Online,2025-10-02 14:14:26,APPROVED,M11952,5094
1359,594,Corriente,US,74.42,USD,Transporte,Presencial,2025-10-02 14:19:02,DECLINED,M53829,6700
2068,137,Corriente,DE,783.09,EUR,Transferencia,Presencial,2025-10-02 14:26:24,DECLINED,M36044,1262
2438,651,Ahorro,US,115.59,USD,E-commerce,Online,2025-10-02 14:29:38,APPROVED,M24505,6772
1599,561,Corriente,ES,74.67,EUR,Supermercado,Movil,2025-10-02 14:43:47,APPROVED,M14951,1175
1875,129,Ahorro,ES,75.86,EUR,Transporte,Movil,2025-10-02 14:46:26,APPROVED,M71854,2490
1437,528,Corriente,ES,197.55,EUR,Restaurante,ATM,2025-10-02 14:55:48,APPROVED,M37277,5528
1423,213,Ahorro,ES,63.39,EUR,Farmacia,Movil,2025-10-02 14:59:17,APPROVED,M43729,3653
2215,204,Corriente,DE,62.0,EUR,Gasolinera,Movil,2025-10-02 15:11:04,APPROVED,M38478,4049
2406,302,Corriente,FR,99.41,EUR,Restaurante,Movil,2025-10-02 15:27:50,PENDING,M65950,3326
1323,355,Empresarial,FR,321.39,EUR,Restaurante,Online,2025-10-02 15:42:31,DECLINED,M73214,7081
2280,477,Premium,MX,138.84,MXN,Gasolinera,Online,2025-10-02 15:44:48,APPROVED,M45173,1772
1000,214,Corriente,ES,116.51,EUR,Hotel,Online,2025-10-02 15:57:34,APPROVED,M76237,1434
1263,687,Ahorro,ES,49.87,EUR,Restaurante,Presencial,2025-10-02 16:06:57,APPROVED,M70853,1820
1933,436,Ahorro,US,953.82,USD,Transferencia,Online,2025-10-02 16:31:15,APPROVED,M73945,7157
2203,462,Corriente,FR,90.8,EUR,Entretenimiento,Presencial,2025-10-02 16:33:30,APPROVED,M10881,5451
1435,261,Corriente,FR,49.72,EUR,Supermercado,Online,2025-10-02 16:37:56,APPROVED,M26632,4377
1714,472,Corriente,US,70.9,USD,Entretenimiento,Presencial,2025-10-02 16:41:29,APPROVED,M54017,2857
1190,142,Empresarial,FR,459.91,EUR,Hotel,ATM,2025-10-02 16:41:48,APPROVED,M21401,8193
2121,667,Ahorro,FR,38.59,EUR,Farmacia,Online,2025-10-02 16:46:48,APPROVED,M62684,6847
2848,615,Corriente,ES,72.0,EUR,Entretenimiento,Movil,2025-10-02 17:08:42,APPROVED,M56658,1471
1289,206,Corriente,US,240.43,USD,Cajero,Movil,2025-10-02 17:09:01,DECLINED,M43018,2154
1021,667,Corriente,UK,49.72,GBP,Gasolinera,Online,2025-10-02 17:09:17,APPROVED,M44600,9280
2988,162,Empresarial,FR,699.17,EUR,Hotel,Presencial,2025-10-02 17:20:36,DECLINED,M46802,3368
2099,345,Corriente,UK,160.13,GBP,E-commerce,ATM,2025-10-02 17:21:07,APPROVED,M73077,5559
1818,232,Ahorro,ES,47.5,EUR,Supermercado,Presencial,2025-10-02 17:21:58,DECLINED,M37585,6932
